lat,lon,mag
32.8465,-96.9122,2.7
35.7502,-97.3879,1.9
58.1051,-58.8464,3.0
36.2034,-97.291,2.5
36.0552,-97.1361,2.1
36.252,-97.2971,2.1
36.5783,-98.44,2.3
47.5457,-92.4661,2.7
46.542,-81.004,2.0
35.3793,-96.5668,2.7
59.0571,-55.0036,3.7
36.878,-97.6831,2.7
35.7572,-97.3867,2.2
36.611,-97.8129,3.0
64.9014,-85.9471,3.2
35.9335,-97.0867,2.1
45.354,-79.1748,2.4
36.991,-97.9563,3.0
45.3634,-79.2049,2.0
43.8089,-105.2264,3.3
43.7625,-105.2868,3.3
36.6572,-98.1435,3.3
36.9131,-97.6736,2.7
43.1894,-71.2573,1.6
43.6214,-105.1737,3.4
43.803,-105.3875,3.6
36.3048,-97.0288,2.4
46.542,-81.004,2.5
36.8708,-97.8292,2.4
36.7709,-98.244,2.7
46.542,-81.004,2.4
48.6459,-82.2855,2.9
36.8172,-97.8106,3.6
67.631,-53.243,1.4
35.6907,-97.084,2.2
46.457,-81.174,2.2
35.6243,-96.893,2.4
35.4633,-97.106,3.1
35.9993,-97.5727,2.0
38.9827,-76.6093,2.4
65.057,-40.82,2.0
36.6203,-97.8101,2.4
37.0452,-97.9085,3.8
36.8304,-98.2185,2.3
35.7591,-97.4056,1.8
45.891,-75.5646,2.5
35.7534,-97.3832,2.0
32.5061,-82.803,2.2
36.1751,-96.7999,2.7
36.1985,-96.7924,2.6
35.9555,-97.0917,2.8
35.3687,-90.071,2.8
35.7773,-97.4915,2.3
46.9744,-76.3862,2.0
36.7201,-98.6131,3.0
36.86,-89.4398,1.8
36.6125,-97.8083,2.9
35.7557,-97.4094,1.5
69.399,-50.355,1.3
35.4239,-96.5006,2.8
45.0795,-69.4033,1.2
35.9423,-97.0744,2.3
36.7302,-98.0508,2.3
35.8082,-97.2999,2.2
43.683,-105.3153,3.5
35.9987,-97.5872,2.2
44.0302,-105.3508,3.3
36.9737,-97.4848,2.3
36.4916,-97.7364,2.7
36.173,-97.04,2.2
36.2809,-97.5074,2.6
36.5184,-97.8354,2.9
36.6135,-97.8069,3.1
36.1814,-96.8511,2.9
36.2789,-97.5355,2.3
47.2046,-71.0916,2.2
36.6419,-97.7144,2.6
36.2807,-97.5271,3.5
35.9405,-97.3448,3.0
36.822,-97.8025,3.5
45.8894,-75.5673,2.7
36.5647,-97.6901,3.5
45.8927,-75.5888,2.9
36.5903,-97.6821,3.2
36.2898,-97.5287,3.0
53.7839,-78.8411,2.3
35.8038,-97.3239,2.7
36.917,-97.6643,2.4
43.7985,-105.2015,3.4
36.8229,-97.8017,3.4
43.4557,-105.3315,3.2
35.796,-97.3181,2.2
69.488,-52.517,2.4
31.1674,-103.2781,3.3
35.8054,-97.3135,2.6
36.8304,-98.2971,3.1
32.5973,-109.1394,3.3
34.2937,-97.5414,2.8
45.3361,-63.3701,2.2
36.6536,-98.4946,2.9
31.36,-109.362,3.7
48.2869,-71.0388,2.2
47.4934,-92.4245,2.1
54.1664,-35.1866,4.6
34.3143,-97.5445,2.7
65.283,-52.684,1.1
34.3026,-97.5696,3.1
36.6665,-97.8495,2.5
36.8699,-98.1798,2.4
43.6906,-105.3232,3.2
36.6783,-98.514,2.7
36.7507,-98.5113,2.8
36.1316,-97.5449,2.4
36.7695,-98.5277,2.4
70.0,-51.681,2.6
46.6923,-81.2714,3.8
36.9186,-97.6751,2.4
44.3571,-72.419,1.4
36.7781,-98.2046,2.1
43.1763,-71.2803,2.2
36.672,-97.8351,3.6
69.055,-52.793,1.5
36.4997,-89.4618,2.2
36.0716,-97.2381,2.5
35.7652,-97.3833,2.4
36.2856,-97.5238,2.3
30.309,-109.704,3.6
43.8186,-105.29,3.3
43.6238,-105.2637,3.5
36.0442,-97.2508,3.1
49.167,-89.613,2.4
36.1561,-97.506,2.6
49.1795,-89.6537,3.0
47.2155,-70.7467,2.1
36.9288,-97.6695,2.3
69.342,-50.085,1.9
65.267,-51.342,1.4
35.7836,-97.3604,2.2
36.0049,-97.5716,2.7
35.995,-97.5604,3.1
73.462,-55.149,2.0
36.2967,-97.1272,2.6
35.9579,-96.9048,2.4
36.3568,-96.8247,2.5
35.5111,-97.1333,1.7
35.7619,-97.3869,2.4
36.9164,-97.6806,2.6
68.936,-53.042,1.2
36.7755,-98.0082,2.3
52.9801,-66.8582,3.1
65.564,-38.242,1.9
36.7973,-97.4577,2.3
36.0772,-97.2109,2.3
45.4018,-63.029,2.2
44.5661,-68.8901,1.7
36.841,-97.7542,2.1
36.9286,-97.6747,2.3
52.7822,-67.1839,2.6
65.907,-37.105,1.7
36.3307,-96.7886,2.3
36.8203,-97.8691,2.3
32.9109,-100.8861,2.8
35.7687,-97.3638,2.4
42.5276,-73.8392,2.4
36.1649,-89.4373,2.4
35.9948,-97.5652,2.5
36.8024,-97.813,2.4
36.0009,-97.5667,3.1
36.2103,-97.0201,2.4
36.2826,-97.5382,3.4
36.5404,-98.9311,2.7
36.0024,-96.7501,2.7
36.8194,-97.7897,2.4
48.251,-78.442,2.3
36.0226,-97.5627,4.1
36.0087,-97.5739,3.2
45.5802,-74.6481,2.2
36.3797,-96.8897,2.4
35.9924,-97.5633,2.6
36.4267,-98.4112,2.5
55.5527,-58.4554,2.9
35.755,-97.3847,2.3
36.0045,-97.516,2.6
46.5531,-75.2695,3.1
43.7901,-105.1354,3.1
36.0112,-97.582,2.7
36.0167,-97.5392,4.8
36.0485,-97.5645,4.0
36.0053,-97.5716,3.0
36.294,-97.1648,2.3
36.5993,-97.8295,2.6
35.9975,-97.5722,2.3
36.0042,-97.571,2.6
36.7347,-98.3721,2.2
35.9905,-97.5702,2.2
36.8106,-98.2366,2.6
36.8117,-97.7939,3.0
59.2446,-74.5839,2.7
35.8296,-97.4702,2.6
46.6566,-75.6148,3.0
35.9983,-97.5691,3.2
36.5299,-98.911,3.0
36.0097,-97.5639,3.6
35.9615,-96.8056,2.8
36.0034,-97.5596,2.9
73.033,-54.278,2.9
71.1157,-66.5653,2.7
43.7408,-105.2554,3.4
43.818,-105.3028,3.2
48.3238,-58.7418,2.6
36.0006,-97.5619,2.4
36.0105,-97.5622,3.7
36.7473,-98.3657,2.4
36.5279,-99.0435,2.4
36.3479,-96.8199,2.9
36.1341,-97.0671,1.8
36.5368,-99.0361,1.9
36.7556,-97.6524,2.0
36.1648,-96.974,3.0
36.5815,-97.6261,3.1
43.7995,-105.2913,3.3
46.9403,-70.5776,1.9
36.826,-98.2295,2.8
36.2924,-97.5298,2.9
36.0203,-97.1064,1.7
49.2912,-68.2265,2.0
36.597,-98.3854,3.8
46.1434,-75.4473,2.0
35.6718,-97.1712,2.2
43.5747,-105.2387,3.3
43.5986,-60.0502,2.6
43.9604,-104.6076,3.2
36.8428,-98.2024,2.6
35.4464,-97.1301,2.6
36.3443,-96.8239,3.2
36.3467,-96.8127,3.2
48.709,-81.3901,2.1
36.6077,-97.8132,2.7
69.2,-50.121,1.2
36.833,-98.2173,2.5
36.3836,-97.6487,2.5
65.751,-51.886,1.0
48.1969,-78.4449,2.1
68.86,-50.185,1.4
72.7883,-67.5644,3.6
36.2683,-97.3598,2.6
36.2849,-97.5154,2.9
36.8388,-98.2594,2.4
36.5782,-97.6876,2.9
36.8446,-98.265,2.2
41.8179,-71.3804,2.3
35.7591,-97.3918,2.4
36.7088,-98.0851,2.4
36.8437,-98.2747,2.5
36.8243,-98.2343,2.3
68.789,-51.191,1.8
36.8196,-98.2334,3.0
35.7574,-97.3575,2.0
42.7885,-71.4189,2.1
36.2824,-97.6422,3.0
36.325,-96.8305,2.4
36.8172,-98.1963,3.3
36.2832,-97.6392,2.9
43.7457,-71.6581,1.4
36.8301,-98.2327,3.4
36.815,-98.247,3.2
36.2888,-97.6287,3.4
36.084,-96.8784,2.5
36.2841,-97.4596,3.0
36.8208,-98.2301,2.7
36.5761,-97.7037,3.0
47.4547,-70.1163,2.0
36.83,-98.2627,3.1
36.8372,-98.2661,2.3
36.289,-97.5179,2.4
36.8523,-98.2077,3.7
36.3825,-96.9237,3.2
36.8823,-98.1649,4.4
36.803,-98.333,2.7
36.5044,-97.2417,2.7
43.806,-105.2836,3.2
46.542,-81.004,2.5
36.8374,-97.8807,2.9
36.652,-97.7185,2.6
35.9666,-96.8054,2.3
43.7334,-105.2623,3.3
47.0093,-64.6147,2.4
51.4128,-65.467,2.3
37.3214,-98.1989,2.8
36.6687,-97.8088,2.6
35.7672,-97.4015,2.4
35.7533,-97.3819,1.9
32.8484,-96.9172,2.6
36.2673,-89.2943,2.3
51.0895,-93.7645,2.5
35.4369,-97.0964,2.6
42.5405,-63.9617,2.4
68.89,-50.513,2.1
36.7424,-97.5917,2.4
36.7469,-97.5667,2.7
36.8049,-98.3293,2.2
48.5629,-59.0652,2.6
36.1417,-97.466,2.6
36.5129,-98.417,4.1
36.2831,-97.5244,2.5
34.4746,-97.7328,2.6
74.978,-61.369,2.1
36.0827,-97.4377,2.4
36.8463,-97.8744,2.4
50.1227,-66.1767,2.2
36.2916,-97.0863,2.8
36.5578,-98.6032,2.5
46.8341,-71.1228,2.2
43.9541,-71.1493,2.0
36.2516,-97.4952,2.3
36.1376,-97.4565,2.2
36.1771,-97.2539,2.5
55.3109,-35.2933,4.8
45.1671,-67.2342,1.2
65.617,-37.627,0.5
32.8533,-96.9417,1.8
45.4567,-74.5439,3.7
36.4,-96.7892,3.1
36.5403,-89.6095,2.1
36.0033,-97.5778,2.7
36.0161,-97.5453,3.7
37.1141,-89.3569,2.3
36.6736,-97.7474,2.2
65.279,-38.345,1.7
65.717,-51.526,1.5
69.331,-48.778,1.7
43.7929,-105.1459,3.2
36.0341,-97.1147,2.4
43.5632,-105.3495,3.3
43.194,-71.8282,1.9
36.2808,-97.5216,2.9
37.0367,-97.9142,2.6
46.1906,-70.3254,1.6
43.116,-73.8719,1.9
36.2993,-97.5435,2.2
46.3805,-79.434,2.2
43.3445,-81.9307,2.3
35.8401,-97.4376,3.0
35.0065,-97.7056,2.3
35.0143,-97.6679,3.2
35.6879,-97.084,2.8
35.7735,-97.5825,3.1
65.589,-38.092,1.5
36.1709,-97.0367,2.0
65.618,-37.584,1.3
45.1586,-69.6545,1.3
43.6611,-105.2995,3.3
45.1809,-73.9641,2.4
69.124,-50.21,1.6
36.5793,-98.3218,2.3
46.3999,-79.4912,2.3
35.9812,-97.5941,2.4
69.15,-52.419,1.6
36.8107,-98.2607,2.3
70.564,-61.553,3.8
32.8351,-96.939,2.4
31.1449,-41.3608,3.8
36.2119,-97.5567,2.6
36.5336,-97.7096,2.4
37.2306,-98.0523,2.7
45.1857,-69.3332,1.2
36.8221,-98.0205,3.0
48.1078,-77.7983,2.1
36.0363,-97.1036,2.2
35.4664,-97.1761,1.8
35.8269,-97.4525,2.0
30.345,-109.568,4.2
36.2913,-97.5116,2.6
47.484,-70.0705,2.8
36.032,-97.0967,2.1
37.0514,-97.9157,2.5
49.6737,-92.4464,2.0
36.5433,-98.4685,2.7
51.0267,-65.5805,2.3
36.0106,-96.7786,2.1
36.0399,-97.1207,3.7
69.713,-42.382,1.8
35.7465,-97.3874,2.8
36.8234,-97.6718,2.2
36.0697,-97.2639,2.6
35.4501,-97.1008,2.5
36.2836,-97.551,3.0
36.296,-97.5334,3.4
65.95,-36.97,1.6
36.6793,-98.2027,3.7
36.5165,-97.8394,2.4
36.2763,-97.5048,2.7
36.0051,-97.2379,2.5
36.8343,-97.6795,2.3
36.52,-98.4284,3.2
37.6125,-97.7633,2.8
66.029,-36.309,1.5
52.6974,-34.8185,4.2
35.8479,-97.4613,2.6
65.399,-37.92,1.3
36.0033,-96.7679,2.3
36.0147,-96.7766,2.6
52.592,-34.7912,3.4
52.3085,-34.5785,4.1
44.717,-68.6172,1.7
44.4477,-77.8121,2.0
35.6968,-97.0926,2.5
36.1897,-97.3532,2.3
35.5806,-101.6265,2.8
35.6738,-97.0934,2.3
35.681,-97.0863,2.9
37.0008,-99.2764,2.6
36.7305,-97.5857,2.5
37.0101,-99.2459,2.7
37.0421,-99.1813,2.6
36.7688,-98.3107,2.7
36.5946,-97.7043,2.4
36.6611,-98.3989,2.7
37.2477,-97.5876,2.3
36.7699,-98.2002,2.8
47.5802,-92.3858,2.6
44.7889,-74.9866,2.0
35.7662,-97.3886,3.4
67.408,-32.501,2.0
36.7401,-97.5721,2.4
36.3014,-96.856,2.3
36.7253,-98.4329,2.3
36.8255,-97.8752,2.4
36.7261,-97.588,2.5
66.032,-52.453,1.7
36.7687,-97.7206,2.2
47.5672,-92.6229,2.6
35.7562,-97.3778,2.5
45.1929,-73.5985,1.7
36.2634,-97.6759,2.7
48.537,-59.0358,2.6
36.5187,-98.9702,2.4
36.2004,-96.7491,2.0
35.763,-97.3674,2.1
36.5319,-98.9977,2.5
35.7589,-97.3862,2.4
35.7641,-97.3653,3.0
46.3076,-75.0763,2.7
65.624,-37.528,0.9
65.631,-37.117,1.4
69.058,-52.085,1.6
65.551,-39.422,1.0
65.623,-37.358,2.0
45.141,-69.6934,1.5
35.7608,-97.3806,3.3
47.8117,-65.4281,2.6
46.6749,-72.6068,2.4
36.2866,-97.5272,2.6
36.7422,-97.5505,2.9
65.623,-37.544,1.2
64.084,-40.071,2.2
35.5752,-97.2595,2.8
65.624,-37.535,1.2
65.626,-37.518,1.0
35.5548,-97.2299,2.5
36.1443,-89.7222,2.0
65.622,-37.528,0.7
65.615,-37.602,1.2
36.3024,-96.8903,2.3
65.623,-37.536,0.8
65.618,-37.626,1.3
60.7606,-44.1238,3.4
46.7702,-75.9458,2.1
74.446,-59.375,1.5
36.542,-98.449,3.3
36.7199,-98.4404,2.4
36.737,-97.5477,3.0
36.2872,-97.5191,3.3
64.094,-40.167,2.2
36.8505,-98.1584,2.3
35.7596,-97.3973,2.3
46.6493,-81.3458,2.5
36.0741,-97.4732,2.8
36.3003,-96.8557,3.4
35.8352,-97.4549,2.3
37.2497,-97.9521,2.9
52.729,-67.3088,2.9
43.6822,-105.2633,3.2
46.1018,-70.7162,1.5
64.158,-40.378,2.1
66.246,-36.343,2.0
36.7414,-97.5576,3.1
36.7356,-97.5784,2.6
68.872,-50.931,2.0
36.3011,-97.5177,3.5
36.8148,-97.7223,2.3
68.893,-51.492,2.1
43.7705,-71.3438,1.5
37.0529,-97.8583,2.6
36.8056,-97.7163,3.0
36.5345,-98.9576,2.6
36.4049,-97.3596,3.0
46.7395,-71.6195,2.1
35.7541,-97.3852,2.4
35.5937,-97.3752,1.7
35.5917,-97.3753,2.3
65.584,-38.151,1.9
36.0865,-97.4631,3.1
44.0833,-66.277,2.3
44.0959,-66.3055,4.2
36.1063,-97.0966,3.5
35.6155,-34.4485,4.3
35.0969,-85.4884,3.4
35.7722,-97.3841,2.5
36.2959,-97.5361,2.2
36.1248,-97.083,2.2
36.7376,-97.5758,2.1
35.9283,-97.3192,2.4
35.4259,-96.5103,2.3
35.9384,-97.3192,2.9
36.7835,-98.5129,2.6
57.2462,-33.6022,3.6
36.738,-98.3027,2.3
42.1633,-85.0317,3.3
37.1448,-98.0106,2.3
35.8343,-97.4557,2.3
35.6084,-97.3818,3.0
36.1211,-97.6281,2.4
35.6003,-97.383,2.2
35.6011,-97.3917,2.1
35.7535,-97.3916,2.9
32.9847,-88.0507,3.5
36.8001,-98.5328,2.8
35.5942,-97.3863,2.1
35.6651,-89.6315,2.3
43.7089,-105.2268,3.4
31.222,-109.358,3.8
36.6554,-98.4389,2.3
32.5614,-90.0744,3.2
36.9597,-97.6493,2.4
36.9021,-97.8613,3.2
36.9401,-97.6636,2.9
36.2779,-97.5217,2.7
36.3257,-96.8232,2.7
47.3937,-70.0861,2.1
36.0853,-97.587,2.8
36.2956,-97.5145,3.4
65.63,-37.421,1.0
36.2935,-97.521,2.6
47.3908,-70.1066,3.8
32.8505,-97.0002,2.1
35.7562,-97.3844,2.1
36.6576,-98.1596,3.4
36.4514,-98.1137,2.6
43.7444,-105.2829,3.2
35.7721,-97.3669,3.1
36.5786,-97.5584,3.1
36.9166,-97.6244,2.9
44.3882,-65.3972,2.5
36.517,-97.7235,3.0
35.7699,-97.3676,2.3
32.8723,-96.907,2.3
35.761,-97.3759,2.1
35.7597,-97.3786,2.6
37.9115,-77.9825,2.3
36.284,-97.5054,2.8
36.2678,-97.5121,2.7
36.7291,-98.2115,3.5
35.897,-97.0589,2.7
36.8249,-97.6902,2.9
36.4067,-98.3175,2.6
35.7617,-97.3747,2.9
35.7366,-97.3946,2.1
35.7554,-97.389,3.3
36.1168,-97.3412,3.0
35.7568,-97.3807,2.4
35.7513,-97.4053,2.0
35.7643,-97.3935,3.0
65.975,-52.499,1.3
35.7708,-97.4004,3.3
35.7628,-97.3646,3.7
35.7515,-97.3793,2.9
35.7508,-97.3894,3.5
35.7527,-97.391,2.3
35.609,-97.0532,2.6
35.7575,-97.3958,2.4
35.7511,-97.3813,2.8
43.6978,-105.2014,2.8
43.7707,-105.3054,3.1
47.6472,-79.7413,2.2
35.9753,-97.0873,2.6
47.6329,-91.9931,2.2
36.0275,-97.2534,2.3
35.8437,-97.4631,2.8
35.7551,-97.3974,2.5
36.2799,-97.519,3.1
36.8377,-98.2905,3.5
45.2363,-67.9974,1.5
36.706,-98.3298,3.0
35.7556,-97.3988,2.1
43.7195,-105.2772,3.3
54.9535,-35.2843,3.4
49.8467,-65.8508,2.2
47.5826,-92.5108,2.8
43.0425,-80.8777,2.1
36.2798,-97.5033,2.7
36.9318,-97.6336,2.5
36.1154,-97.3582,2.3
36.9387,-97.6811,2.4
35.8323,-97.4634,2.3
35.8162,-97.3788,2.2
65.447,-37.738,1.8
68.887,-51.219,1.7
36.7312,-97.9627,2.9
36.6742,-98.5936,3.0
36.7379,-98.3488,2.4
36.9568,-97.9413,2.4
69.152,-49.473,1.9
36.7711,-98.0263,2.3
60.478,-44.085,1.8
35.7659,-97.3913,3.9
43.9181,-105.4639,3.0
35.7682,-97.4051,3.6
35.7668,-97.4102,3.6
35.83,-97.4576,3.3
43.7569,-105.2339,3.5
43.6813,-105.2548,3.6
36.6623,-97.6213,2.2
36.3226,-96.8162,2.2
36.5714,-97.3919,2.1
36.661,-97.6203,2.5
35.7561,-97.3892,2.3
36.2273,-97.5418,3.7
48.251,-78.442,2.1
35.7602,-97.4029,2.6
35.7622,-97.3933,3.4
35.757,-97.3909,2.4
36.6857,-97.9247,2.1
36.3356,-96.7844,2.3
36.3252,-96.7719,2.2
36.2861,-97.5249,2.9
36.291,-96.8828,3.1
36.56,-97.3942,2.4
36.1299,-97.5607,2.6
70.456,-48.633,1.6
50.0655,-67.0144,2.1
36.5464,-97.1963,3.2
35.8287,-97.4351,1.9
35.8098,-97.4574,2.4
35.7611,-97.4037,3.1
35.7539,-97.3898,2.3
35.7763,-97.4117,2.8
36.2928,-97.5348,2.5
35.755,-97.4071,2.4
68.962,-48.787,1.3
36.2908,-97.5394,3.0
44.3903,-65.429,2.5
36.2967,-96.8698,2.8
35.7557,-97.3789,3.6
50.3978,-68.852,2.1
35.7622,-97.4151,3.5
36.6887,-98.0505,2.6
64.8,-86.4554,3.0
64.6219,-86.6511,3.2
36.5959,-97.6844,2.4
36.2908,-97.5204,2.6
35.7561,-97.3953,2.8
35.9215,-97.2596,3.0
35.7701,-97.4158,3.2
35.7626,-97.3896,4.1
35.7565,-97.4005,3.2
35.7663,-97.3994,3.4
35.7808,-97.4002,3.5
35.7652,-97.3999,2.6
35.9274,-97.2307,2.1
36.5723,-98.2688,2.1
36.5018,-97.2509,2.3
36.8396,-98.2583,2.9
47.7845,-69.9684,1.9
43.8032,-105.2237,3.5
30.881,-109.807,3.7
36.2948,-97.5321,2.5
36.1364,-97.2915,2.8
46.8996,-71.4921,1.7
47.7965,-75.3342,2.1
36.2903,-97.5376,3.0
46.673,-81.335,2.3
36.2834,-97.5189,2.7
36.295,-97.5537,2.8
49.6455,-92.3634,2.2
35.7899,-97.4895,3.3
35.7992,-97.505,2.9
36.3227,-96.6881,2.8
35.7794,-97.4948,2.5
36.5506,-98.5197,2.7
69.2866,-68.7814,3.8
47.6158,-92.5064,2.8
46.673,-81.335,2.1
30.0375,-41.938,4.6
36.3403,-96.9322,2.7
42.7366,-100.469,3.3
73.1319,-89.766,2.8
36.2952,-97.5321,2.3
36.6776,-98.579,2.2
46.7223,-81.4558,2.2
36.2909,-97.5465,2.9
36.2816,-97.5141,4.1
46.0624,-75.0837,2.2
47.3655,-70.2683,2.0
72.939,-54.051,1.8
36.6678,-98.4559,2.4
43.0975,-71.497,1.8
47.5882,-92.6374,2.6
36.5034,-97.2723,3.0
47.4686,-70.1086,2.2
47.08,-66.5308,2.0
36.774,-97.7587,2.1
36.5202,-98.5987,1.9
36.8508,-97.8907,2.3
36.4939,-97.1604,2.4
36.4874,-98.6583,2.8
36.9589,-97.6638,2.5
36.3067,-96.692,3.1
60.792,-43.811,2.2
42.5274,-73.8086,2.1
37.0403,-97.8995,3.4
36.7775,-97.868,2.4
36.2887,-97.5504,2.8
36.6986,-97.9235,2.4
52.0328,-31.265,4.4
31.4785,-41.1419,4.9
